"pcon19cd","ConstituencyName","Con19","Lab19","Con17","Lab17","Con15","Lab15","Leave","Remain","hc1","hc2","hc3","hc4","oc1","oc2","oc3","ca1","ca2","ca3","ns1","ns2","ns3","ns4","he1","he2","he3","qu1","qu2","qu3","de1","de2","de3","ag1","ag2","ag3","ag4"
"W07000049","Aberavon",20.6278878410026,53.8261915311096,17.7377660214019,68.1195142479259,11.8706975858897,48.9039748754877,60.12448399,39.87551601,66.8346809478806,19.9131926213728,11.1029437502188,2.14918268052784,32.6367741258007,9.86733872379152,46.5364555987259,27.8938709790332,43.7432181735448,28.362910847422,27.3938247749044,22.8014636352424,36.8355054886322,6.73847798380134,44.5526439145359,28.2793764081472,27.1679796773169,47.9165518887848,20.8601913576846,27.2638789414725,32.2307396128671,29.6790227169309,38.090237670202,20.345364643975,8.28179577518032,46.5622306564045,24.8106089244402
"W07000058","Aberconwy",46.0913227679272,39.7081437313667,44.5940902021773,42.6189735614308,41.5052408119942,28.2406793153775,52.19711731,47.80288269,69.7449463044852,11.8761844598863,16.1876184459886,2.19125078963992,29.650979153506,8.9821541377132,47.52447883765,22.386291850916,44.4843651295009,33.1293430195831,43.0210419602898,18.4654946467868,27.6487896545756,4.14410404767203,46.5922183816361,32.6207568908978,20.7870247274661,36.8184218865533,20.3084398436675,38.2697792331256,40.8757106759318,34.2585281111813,24.8657612128869,18.5464858636887,7.28706904192147,42.0827794026411,32.0836656917487
"S14000001","Aberdeen North",20.1400582685163,13.2012936679764,22.6922763011127,30.0106102239029,12.0721048798252,25.9400036416606,43.09220874,56.90779126,44.6189166359836,35.4573216954365,17.7535682571311,2.17019341144874,23.7595027181564,10.829308440363,58.3981286955015,39.5941175196552,42.95986658292,17.4460158974248,28.5058662890665,18.9251036714878,28.584252048144,3.65378780216446,52.1966002368194,31.834146145664,15.9692536175166,45.3127192777284,16.569209898489,38.1180708237826,40.3738277273613,33.1896645080245,26.4365077646141,15.9020209926345,18.4849579545226,47.6599032652979,17.9531177875449
"S14000002","Aberdeen South",35.9305841623209,8.4008939918489,42.1324702762232,20.5492998898703,22.8357809313917,26.7574303309922,32.1431052,67.8568948,61.9331796193318,16.73900266739,19.2820651928207,2.04575252045753,29.0587277905873,10.6107871061079,52.3667435236674,27.7905872779059,45.7073104570731,26.502102265021,43.9167828595883,20.2258514295181,21.5000621229482,2.80933776937201,56.591950384669,30.4677189179909,12.94033069734,36.386241193535,13.4837810345477,50.1299777719173,51.9146435191464,30.473800804738,17.6115556761156,16.5724218590727,11.5186111140917,51.463029925856,20.4459371009796
"S14000058","West Aberdeenshire and Kincardine",42.6506701659012,4.55712812822195,47.852784503632,11.052784503632,28.8354228567287,4.50576128704979,38.51948274,61.48051726,74.834419255829,11.935275429433,10.5621668192343,2.66813849550374,46.3276075601745,10.039847073394,33.3584621183566,10.1960045231813,38.8185881212643,50.9854073555544,47.8485090285782,21.98037651092,22.0483494399622,1.80571563672902,58.7275106313379,30.3107621851488,10.9617271835132,41.8046189813376,14.4001945972243,43.7951864214381,53.0127618329654,31.3041839427064,15.6830542243283,22.1066404972195,6.80405626431142,48.6926180351107,22.3966852033584
"S14000003","Airdrie and Shotts",17.6279794830534,32.002413758423,23.1908846902795,37.0927845902847,7.65253127399178,34.1146186153638,39.83812657,60.16187343,59.9429949572462,32.1256303442228,7.00504275378206,0.926331944748959,33.8248191186143,9.42227581670686,47.5471387853541,29.8399473799605,42.3043192282394,27.8557333918,27.9937015730477,23.1778993810704,35.804374600502,6.73651060910777,50.1916244393966,28.1868483895393,21.6215271710641,61.8478119911817,12.8413135257417,25.3108744830766,32.5394650295988,32.2873273404955,35.1732076299057,21.6448249752461,8.87646339332518,48.481565612441,20.9971460189877
"E14000530","Aldershot",58.3743636818827,23.537511474589,55.0561797752809,31.6179775280899,50.5921066874499,18.3325756099673,57.89776574,42.10223426,65.4260480159224,15.2655802960567,16.8005970891902,2.5077745988307,38.8928971265083,10.8919019778579,39.9825848986192,15.8253514118671,42.2963055106356,41.8783430774972,41.2793635574444,23.5659959315358,24.4639085761671,3.9997926897213,50.0317545851696,35.6488520236331,14.3193933911972,34.8705043767233,20.8661938761995,37.5097829097083,47.9437741012564,32.8374175892524,19.2188083094912,22.7372452416235,9.40609303131195,50.058697869556,17.7979638575085
"E14000531","Aldridge-Brownhills",70.7894870621727,20.3700879467236,65.4082266683236,29.849633403753,52.0495227485632,22.3687875028483,67.79634958,32.20365042,75.594166925225,14.5423518461061,8.20043437790878,1.66304685076016,36.3636363636364,9.60595718274899,38.9078498293515,19.1312441824387,41.5420415761713,39.32671424139,38.0178629075648,22.2335808314502,28.578858639119,5.00735320492127,42.6845428326448,35.7302465767662,21.585210590589,43.4526628152919,19.8077469457335,32.2094895349938,39.9751784052125,33.0623642569035,26.962457337884,20.2847714812794,7.32585028710993,44.0564346402681,28.3329435913425
"E14000532","Altrincham and Sale West",48.0452130087833,36.8350893851688,51.0191324114416,38.8463724190188,52.9940416097551,26.6860660767662,38.58779999,61.41220001,74.0804727208994,12.2611983274494,11.9331981271439,1.72513082450737,38.9143443751721,9.37179198277373,40.1687573549663,16.0019029019254,41.6309872555647,42.3671098425098,54.3788216883531,19.1004723679253,16.2937954617904,3.33120816066305,54.3415017962336,30.6664181963123,14.9920800074541,26.2665940676208,18.3532980709396,51.7151524579963,54.4154836125091,29.0192543629034,16.5652620245875,22.8230373430237,6.43745276475034,47.6069198993695,23.1325899928565
"W07000043","Alyn and Deeside",41.987537202381,42.4827938988095,40.3932082216265,52.0889186773905,31.9431669651934,40.0348550128286,58.05336875,41.94663125,72.5925495437903,14.8021154181438,11.1408147846807,1.46452025338525,36.8512814552217,10.5945254838147,41.5528563956529,17.0773522403673,43.005753472424,39.9168942872087,35.0967466175673,24.4439329924871,30.3177760607605,3.71204524157885,48.9836979576995,32.7943760984183,18.2219259438822,38.5319588864583,22.9435737616493,34.0070720086302,43.9268902190969,32.3327715464637,23.7403382344395,21.7865583904006,8.59584267620144,46.3899157626811,23.2276831707169
